 | 281  | Tsareena           |  0.51378% | 5125   |  0.514% | 3314   |  0.531% | 
 | 282  | Gothitelle         |  0.51057% | 5093   |  0.511% | 2911   |  0.466% | 
 | 283  | Bronzong           |  0.51007% | 5088   |  0.510% | 3727   |  0.597% | 
 | 284  | Zangoose           |  0.50907% | 5078   |  0.509% | 3026   |  0.485% | 
 | 285  | Hitmonlee          |  0.50054% | 4993   |  0.501% | 3165   |  0.507% | 
 | 286  | Torkoal            |  0.49954% | 4983   |  0.500% | 3857   |  0.618% | 
 | 287  | Pineco             |  0.49884% | 4976   |  0.499% | 3402   |  0.545% | 
 | 288  | Weezing            |  0.49824% | 4970   |  0.498% | 3687   |  0.591% | 
 | 289  | Gigalith           |  0.49323% | 4920   |  0.493% | 3513   |  0.563% | 
 | 290  | Arceus-Dragon      |  0.49272% | 4915   |  0.493% | 3209   |  0.514% | 
 | 291  | Mudsdale           |  0.48731% | 4861   |  0.487% | 2804   |  0.449% | 
 | 292  | Landorus           |  0.48200% | 4808   |  0.482% | 3211   |  0.514% | 
 | 293  | Ariados            |  0.48160% | 4804   |  0.482% | 3865   |  0.619% | 
 | 294  | Uxie               |  0.48070% | 4795   |  0.481% | 3789   |  0.607% | 
 | 295  | Liepard            |  0.47528% | 4741   |  0.475% | 3246   |  0.520% | 
 | 296  | Dusclops           |  0.47348% | 4723   |  0.473% | 3000   |  0.481% | 
 | 297  | Mandibuzz          |  0.47257% | 4714   |  0.473% | 3198   |  0.512% | 
 | 298  | Steelix            |  0.47247% | 4713   |  0.472% | 3493   |  0.560% | 
 | 299  | Mienshao           |  0.46877% | 4676   |  0.469% | 3119   |  0.500% | 
 | 300  | Houndoom-Mega      |  0.46295% | 4618   |  0.463% | 2944   |  0.472% | 
 | 301  | Exeggutor          |  0.45202% | 4509   |  0.452% | 2809   |  0.450% | 
 | 302  | Chatot             |  0.45122% | 4501   |  0.451% | 2088   |  0.334% | 
 | 303  | Xatu               |  0.44581% | 4447   |  0.446% | 3192   |  0.511% | 
 | 304  | Raikou             |  0.44300% | 4419   |  0.443% | 2845   |  0.456% | 
 | 305  | Nidoqueen          |  0.44230% | 4412   |  0.442% | 3235   |  0.518% | 
 | 306  | Heliolisk          |  0.43849% | 4374   |  0.438% | 2829   |  0.453% | 
 | 307  | Scyther            |  0.43729% | 4362   |  0.437% | 2725   |  0.437% | 
 | 308  | Meloetta           |  0.43699% | 4359   |  0.437% | 2757   |  0.442% | 
 | 309  | Sharpedo           |  0.43147% | 4304   |  0.431% | 2873   |  0.460% | 
 | 310  | Slowbro-Mega       |  0.42816% | 4271   |  0.428% | 2638   |  0.423% | 
 | 311  | Accelgor           |  0.42656% | 4255   |  0.427% | 2917   |  0.467% | 
