 | 240  | Exeggutor-Alola    |  0.15405% | 10449  |  0.251% | 7418   |  0.234% | 
 | 241  | Trevenant          |  0.15365% | 15422  |  0.371% | 11248  |  0.355% | 
 | 242  | Meloetta           |  0.15335% | 9694   |  0.233% | 6686   |  0.211% | 
 | 243  | Malamar            |  0.15145% | 14222  |  0.342% | 10574  |  0.334% | 
 | 244  | Hitmontop          |  0.15135% | 10150  |  0.244% | 7714   |  0.243% | 
 | 245  | Sableye            |  0.14757% | 12147  |  0.292% | 9218   |  0.291% | 
 | 246  | Qwilfish           |  0.14681% | 6110   |  0.147% | 4608   |  0.145% | 
 | 247  | Slaking            |  0.14607% | 11405  |  0.274% | 8583   |  0.271% | 
 | 248  | Drapion            |  0.14494% | 17296  |  0.416% | 12631  |  0.398% | 
 | 249  | Togedemaru         |  0.14459% | 10583  |  0.254% | 8086   |  0.255% | 
 | 250  | Victreebel         |  0.14354% | 7609   |  0.183% | 5348   |  0.169% | 
 | 251  | Gigalith           |  0.13936% | 10534  |  0.253% | 8866   |  0.280% | 
 | 252  | Charizard          |  0.13882% | 14776  |  0.355% | 10945  |  0.345% | 
 | 253  | Lycanroc           |  0.13589% | 7677   |  0.184% | 5807   |  0.183% | 
 | 254  | Dusknoir           |  0.13530% | 13801  |  0.332% | 10327  |  0.326% | 
 | 255  | Dragalge           |  0.13083% | 11774  |  0.283% | 8618   |  0.272% | 
 | 256  | Rotom-Mow          |  0.12976% | 8347   |  0.201% | 6345   |  0.200% | 
 | 257  | Durant             |  0.12694% | 9458   |  0.227% | 6702   |  0.211% | 
 | 258  | Hoopa              |  0.12485% | 4509   |  0.108% | 3137   |  0.099% | 
 | 259  | Delphox            |  0.12442% | 12567  |  0.302% | 9003   |  0.284% | 
 | 260  | Cradily            |  0.12408% | 10545  |  0.253% | 7895   |  0.249% | 
 | 261  | Bewear             |  0.12296% | 8470   |  0.204% | 5840   |  0.184% | 
 | 262  | Lanturn            |  0.12075% | 9738   |  0.234% | 7136   |  0.225% | 
 | 263  | Yanmega            |  0.11919% | 10200  |  0.245% | 7166   |  0.226% | 
 | 264  | Shaymin            |  0.11897% | 6429   |  0.154% | 4583   |  0.145% | 
 | 265  | Braviary           |  0.11674% | 7624   |  0.183% | 5508   |  0.174% | 
 | 266  | Aggron             |  0.11464% | 11598  |  0.279% | 8776   |  0.277% | 
 | 267  | Vivillon           |  0.11201% | 9401   |  0.226% | 6641   |  0.209% | 
 | 268  | Magneton           |  0.11148% | 7001   |  0.168% | 5289   |  0.167% | 
 | 269  | Steelix            |  0.11059% | 9110   |  0.219% | 7405   |  0.234% | 
 | 270  | Leafeon            |  0.10897% | 10450  |  0.251% | 7171   |  0.226% | 
 | 271  | Torterra           |  0.10811% | 12181  |  0.293% | 9214   |  0.291% | 
 | 272  | Mismagius          |  0.10608% | 10342  |  0.248% | 7684   |  0.242% | 
 | 273  | Kecleon            |  0.10442% | 6174   |  0.148% | 4571   |  0.144% | 
 | 274  | Comfey             |  0.10223% | 7133   |  0.171% | 5108   |  0.161% | 
 | 275  | Cinccino           |  0.10185% | 10063  |  0.242% | 6963   |  0.220% | 
 | 276  | Sharpedo           |  0.10075% | 9145   |  0.220% | 6688   |  0.211% | 
 | 277  | Poliwrath          |  0.10058% | 9442   |  0.227% | 7127   |  0.225% | 
 | 278  | Claydol            |  0.10049% | 8362   |  0.201% | 6737   |  0.213% | 
 | 279  | Stoutland          |  0.10002% | 6212   |  0.149% | 4307   |  0.136% | 
